"selfcensor","adminclear","admincontr","worryrep","worryjob","fa_insult","fa_offen","fa_teach","fa_emot","fa_unrest","scotus_harass","obama_harass","priority","direction","studentcon","facoffen","facquote","faccomf","train_knowl","train_norms","train_prac","train_phil","train_skill","train_const","train_rule","train_disag","train_engage","sup_session","sup_acadpol","sup_exprpol","sup_event","judgeideo","judgeT14","judgeview","judgeteach","spmargin","spdiff","deihire","deitenure","polclimate","polhide","hirecons","hirelib","mentorcons","mentorlib","clerkcons","clerklib","fitlib","fitcons","col_hirecons","col_hirelib","col_mentorcons","col_mentorlib","col_clerkcons","col_clerklib","educontext","FLDF","Position","Area","Degree_1","Degree_2","Degree_3","Degree_4","Degree_5","Gender","Race","Ideo","ideobin","Party","age_5cat","Religion","Religion2"
"Occasionally","Very clear","Not very likely","Not too worried","Not at all worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Neither acceptable nor unacceptable","Mostly acceptable","Somewhat uncomfortable","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Neither oppose nor support","Strongly support this","Strongly support this","Somewhat support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is sometimes justifiable","This is sometimes justifiable","Somewhat supportive","Never","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Very positive fit","Somewhat positive fit","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","Neither / don’t know","Very familiar","Chaired or Distinguished Professor","International / comparative law","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Slightly liberal","liberal","Strong Democrat","55-64","Agnostic",
"Occasionally","Very clear","Not very likely","Slightly worried","Not too worried","Some protection","Complete protection","Complete protection","Complete protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Mostly acceptable","Completely acceptable","Very uncomfortable","Somewhat important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Neither oppose nor support","Somewhat support this","Somewhat support this","Somewhat support this","Somewhat unjustified","Somewhat unjustified","Judges are mostly politically motivated.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Neither oppose nor support","Somewhat support this position","This is rarely justifiable","This is rarely justifiable","Somewhat hostile","Fairly often, a couple times a week","Never","Rarely","Never","Never","Never","Never","Very positive fit","Somewhat poor fit","Often","Rarely","Rarely","Never","Rarely","Never","Neither / don’t know","Somewhat familiar","Clinical Professor","Tax law","J.D.",,,,,"Male","White or Caucasian","Moderate, middle-of-the-road","moderate","Lean Democrat","35-44","Atheist",
"Fairly often, a couple times a week","Not very clear","Extremely likely","Somewhat worried","Somewhat worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Mostly acceptable","Completely acceptable","Somewhat uncomfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Somewhat support this","Somewhat unjustified","Somewhat unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Somewhat support this position","This is sometimes justifiable","This is sometimes justifiable","Very supportive","Rarely","Never","Never","Never","Never","Never","Never","Very positive fit","Very positive fit","Rarely","Rarely","Never","Never","Never","Never","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Never heard of it","Assistant Professor","Health law","J.D.",,"LLM or Masters",,,"Female","White or Caucasian","Something else (please specify)",,"Strong Democrat","35-44","Roman Catholic",
"Occasionally","Extremely clear","Not at all likely","Somewhat worried","Not too worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression","Right track","Often","Mostly acceptable","Mostly acceptable","Somewhat comfortable","Very important","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Somewhat oppose this position","Strongly support this position","This is never justifiable","This is never justifiable","Very supportive","Rarely","Rarely","Rarely","Never","Never","Never","Never","Very positive fit","Very positive fit","Sometimes","Never","Never","Never","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Never heard of it","Chaired or Distinguished Professor","Business law / business organizations / commercial litigation","J.D.",,,,,"Male","White or Caucasian","Slightly conservative","conservative","Lean Republican","45-54","Mormon",
"Fairly often, a couple times a week","Not at all clear","Extremely likely","Very worried","Very worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Completely acceptable","Completely acceptable","Very uncomfortable","Very unimportant","Very unimportant","Very unimportant","Neither important nor unimportant","Very unimportant","Very unimportant","Very unimportant","Very unimportant","Very unimportant","Somewhat oppose this","Strongly support this","Strongly support this","Strongly support this","Neither justified nor unjustified","Unjustified","Judges are mostly politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Very hostile","Very often, nearly every day","Never","Never","Never","Never","Never","Never","Neither poor nor positive fit","Somewhat positive fit","Always","Always","Often","Always","Often","Often","Neither / don’t know","Very familiar","Assistant Professor","Other","J.D.",,,"Research doctorate (e.g., PhD, SJD, EdD)",,,,"Moderate, middle-of-the-road","moderate",,,,
"Rarely","Very clear","Not at all likely","Slightly worried","Not too worried","Complete protection","Complete protection","Complete protection","Some protection","Complete protection","Probably too broad","Definitely too narrow","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Completely acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Somewhat important","Somewhat support this","Strongly support this","Strongly support this","Strongly support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is often justifiable","This is often justifiable","Very supportive","Never","Never","Never","Never","Never","Never","Never","Very positive fit","Very positive fit","Rarely","Rarely","Never","Never","Never","Never","Neither / don’t know","Never heard of it","Administrator","Other","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Very liberal","liberal","Lean Democrat","45-54","Agnostic",
"Rarely","Extremely clear","Very likely","Not too worried","Not at all worried","Some protection","Some protection","Complete protection","Some protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Often","Neither acceptable nor unacceptable","Neither acceptable nor unacceptable","Somewhat comfortable","Very important","Very important","Very important","Very important","Very important","Somewhat important","Very important","Very important","Somewhat important","Somewhat support this","Strongly support this","Strongly support this","Somewhat support this","Unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Somewhat support this position","This is often justifiable","This is often justifiable","Very supportive","Never","Rarely","Never","Never","Never","Rarely","Never","Very positive fit","Somewhat positive fit","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Full Professor","Family / adoption law","J.D.",,,"Research doctorate (e.g., PhD, SJD, EdD)",,"Male","White or Caucasian","Very liberal","liberal","Strong Democrat","55-64","Atheist",
"Never","Very clear","Not at all likely","Somewhat worried","Not too worried","Minimal protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too narrow","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Completely acceptable","Completely acceptable","Somewhat uncomfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Neither oppose nor support","Strongly support this","Strongly support this","Somewhat support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Strongly support this position","Somewhat support this position","This is sometimes justifiable","This is sometimes justifiable","Neither supportive nor hostile","Never","Rarely","Rarely","Never","Never","Never","Never","Somewhat positive fit","Somewhat positive fit","Rarely","Rarely","Never","Never","Never","Never","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Full Professor","Copyright / trademark / intellectual property law","J.D.",,,,,"Male","White or Caucasian","Slightly liberal","liberal","Strong Democrat","55-64","Jewish",
"Occasionally","Somewhat clear","Not very likely","Slightly worried","Not too worried","No protection","Don’t know / uncertain","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Don’t know / uncertain","Protecting free expression","Right track","Always","Mostly acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Somewhat support this","Somewhat justified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Neither oppose nor support","Somewhat support this position","This is never justifiable","This is never justifiable","Very supportive","Never","Never","Never","Never","Never","Never","Never","Somewhat positive fit","Somewhat positive fit","Rarely","Rarely","Rarely","Never","Rarely","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Never heard of it","Chaired or Distinguished Professor","International / comparative law","J.D.",,,"Research doctorate (e.g., PhD, SJD, EdD)",,"Female","White or Caucasian","Liberal","liberal","Strong Democrat","55-64","Roman Catholic",
"Fairly often, a couple times a week","Somewhat clear","Very likely","Very worried","Very worried","Minimal protection","Complete protection","Some protection","Complete protection","Some protection","Definitely too narrow","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Mostly acceptable","Completely acceptable","Very uncomfortable","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Somewhat oppose this","Somewhat support this","Somewhat support this","Somewhat support this","Neither justified nor unjustified","Neither justified nor unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat oppose this position","Somewhat support this position","This is never justifiable","This is never justifiable","Somewhat hostile","Occasionally, once or twice a month","Rarely","Rarely","Rarely","Rarely","Never","Never","Very positive fit","Very poor fit","Often","Often","Sometimes","Rarely","Rarely","Never","Neither / don’t know","Never heard of it","Clinical Professor","Other","J.D.",,,,,"Female","White or Caucasian","Slightly liberal","liberal","Lean Democrat","55-64","Atheist",
"Very often, nearly every day","Somewhat clear","Very likely","Somewhat worried","Somewhat worried","Minimal protection","Complete protection","Complete protection","Minimal protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression","Wrong direction","Always","Completely acceptable","Completely acceptable","Somewhat uncomfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely justified","Extremely justified","Judges are mostly politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Somewhat hostile","Very often, nearly every day","Always","Never","Often","Never","Never","Never","Very positive fit","Very poor fit","Always","Never","Sometimes","Never","Rarely","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Somewhat familiar","Associate Professor","Other","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Conservative","conservative","Strong Republican","55-64","Roman Catholic",
"Occasionally","Somewhat clear","Somewhat likely","Not too worried","Not too worried","Minimal protection","Complete protection","Complete protection","No protection","Some protection","Probably too narrow","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Often","Neither acceptable nor unacceptable","Completely acceptable","Somewhat uncomfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Neither oppose nor support","Somewhat support this","Somewhat support this","Somewhat support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is rarely justifiable","This is rarely justifiable","Neither supportive nor hostile","Occasionally, once or twice a month","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Very positive fit","Neither poor nor positive fit","Often","Often","Sometimes","Sometimes","Sometimes","Rarely","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Never heard of it","Clinical Professor","Business law / business organizations / commercial litigation","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Liberal","liberal","Lean Democrat","55-64","Atheist",
"Never","Extremely clear","Not very likely","Not at all worried","Not at all worried","No protection","No protection","No protection","No protection","No protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Often","Mostly unacceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are mostly politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Somewhat positive fit","Somewhat positive fit","Never","Never","Never","Never","Sometimes","Sometimes","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","I’ve heard of it, but I don’t know much about it","Adjunct / Lecturer",,"J.D.",,,,,"Male","White or Caucasian","Conservative","conservative","Lean Republican","65+","Roman Catholic",
"Never","Very clear","Not very likely","Not too worried","Not at all worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Often","Mostly acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Somewhat important","Somewhat important","Very important","Very important","Very important","Somewhat important","Neither oppose nor support","Strongly support this","Strongly support this","Strongly support this","Justified","Justified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is always justifiable","This is always justifiable","Very supportive","Never","Rarely","Rarely","Never","Never","Never","Never","Very positive fit","Very positive fit","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Somewhat familiar","Associate Professor","Environmental law","J.D.",,,"Research doctorate (e.g., PhD, SJD, EdD)",,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","45-54","Nothing in Particular",
"Rarely","Very clear","Not at all likely","Not too worried","Not too worried","Complete protection","Complete protection","Complete protection","Complete protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Always","Mostly acceptable","Mostly acceptable","Somewhat comfortable","Very important","Somewhat important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Somewhat support this","Somewhat support this","Somewhat support this","Extremely unjustified","Extremely unjustified","Judges are mostly politically neutral.","Judges are mostly politically neutral.","Somewhat support this position","Somewhat support this position","This is rarely justifiable","This is rarely justifiable","Somewhat supportive","Rarely","Never","Never","Never","Never","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Neither / don’t know","Somewhat familiar","Full Professor","Administrative / education law","J.D.",,,,,"Female","White or Caucasian","Slightly liberal","liberal","Lean Democrat","45-54","Mainline Protestant",
"Occasionally","Very clear","Not at all likely","Slightly worried","Not at all worried","No protection","Complete protection","Complete protection","Complete protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Often","Completely acceptable","Completely acceptable","Very comfortable","Very important","Somewhat important","Very important","Somewhat important","Very important","Very important","Very important","Somewhat important","Very important","Somewhat oppose this","Strongly support this","Strongly support this","Somewhat support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Somewhat support this position","This is rarely justifiable","This is never justifiable","Somewhat hostile","Rarely","Never","Never","Never","Never","Never","Never","Somewhat positive fit","Neither poor nor positive fit","Always","Never","Sometimes","Rarely","Sometimes","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Somewhat familiar","Chaired or Distinguished Professor","Constitutional law","J.D.",,,,,"Male","White or Caucasian","Slightly conservative","conservative","Lean Democrat","55-64","Agnostic",
