Gender,Sexual orientation,Sexual orientation code,Response,Tag,left_wing_tolerance,right_wing_tolerance
Men,Straight (Heterosexual),1,Both Jewish and Protestant (interfaith),Short explanation,33.3,11.1
Men,Straight (Heterosexual),1,CHRIST IS KING,Joke,66.7,88.9
Men,Queer/Questioning/Other,4,Candomblé,Normal,100.0,100.0
Men,Straight (Heterosexual),1,Catholic,Normal,55.6,55.6
Men,Straight (Heterosexual),1,Catholic,Normal,66.7,100.0
Men,Straight (Heterosexual),1,Catholic,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Catholic,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Catholic,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Catholic,Normal,11.1,33.3
Men,Gay/Lesbian,2,Catholic,Normal,55.6,66.7
Men,Straight (Heterosexual),1,Catholic Hindu,Normal,66.7,55.6
Men,Gay/Lesbian,2,Catholic and Vietnamese Buddhism Cult,Joke,33.3,33.3
Men,Straight (Heterosexual),1,Catholic-ish,Normal,55.6,22.2
Men,Straight (Heterosexual),1,Catholic/Agnostic,Short explanation,66.7,66.7
Men,Straight (Heterosexual),1,Catholicism,Normal,0.0,11.1
Men,Gay/Lesbian,2,Celtic Pegan,Unusual,22.2,0.0
Men,Straight (Heterosexual),1,Christ is King,Joke,0.0,66.7
Men,Straight (Heterosexual),1,Christian,Normal,55.6,33.3
Men,Straight (Heterosexual),1,Christian,Normal,0.0,44.4
Men,Straight (Heterosexual),1,Christian,Normal,44.4,100.0
Men,Straight (Heterosexual),1,Christian,Normal,100.0,100.0
Men,Straight (Heterosexual),1,Christian,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Christian,Normal,22.2,44.4
Men,Straight (Heterosexual),1,Christian,Normal,66.7,66.7
Men,Straight (Heterosexual),1,Christian,Normal,66.7,66.7
Men,Straight (Heterosexual),1,Christian,Normal,0.0,66.7
Men,Straight (Heterosexual),1,Christian,Normal,22.2,55.6
Men,Straight (Heterosexual),1,Christian,Normal,0.0,0.0
Men,Straight (Heterosexual),1,Christian,Normal,66.7,100.0
Men,Straight (Heterosexual),1,Christian,Normal,33.3,44.4
Men,Queer/Questioning/Other,4,Christian,Normal,77.8,66.7
Men,Straight (Heterosexual),1,Christian beliefs,Normal,11.1,33.3
Men,Straight (Heterosexual),1,Christian… not “Just” Christian,Normal,22.2,55.6
Men,Bisexual,3,Complex,Other,88.9,88.9
Men,Straight (Heterosexual),1,Coptic Orthodox Christian,Normal,44.4,55.6
Men,Straight (Heterosexual),1,Coptic orthodox,Normal,55.6,44.4
Men,Straight (Heterosexual),1,Coptic orthodox,Normal,66.7,0.0
Men,Straight (Heterosexual),1,Coptic orthodox,Normal,22.2,33.3
Men,Straight (Heterosexual),1,Daoist,Normal,22.2,11.1
Men,Straight (Heterosexual),1,Deism,Unusual,55.6,44.4
Men,Straight (Heterosexual),1,Deist,Unusual,100.0,100.0
Men,Straight (Heterosexual),1,Deist,Unusual,22.2,22.2
Men,Gay/Lesbian,2,Deist,Unusual,66.7,66.7
Men,Queer/Questioning/Other,4,Deist,Unusual,100.0,100.0
Men,Bisexual,3,Deist (there is an Absent God),Short explanation,66.7,44.4
Men,Straight (Heterosexual),1,Different,Other,22.2,66.7
Men,Straight (Heterosexual),1,Disciple of Christ,Normal,22.2,88.9
Men,Missing,99,Disciple of Cthulu,Joke,55.6,11.1
Men,Straight (Heterosexual),1,Don't do religion as that's slavery to control the masses... I have a soul and into high level spiritualism and metaphysics.,Long explanation,100.0,100.0
Men,Missing,99,Dont want to say,Other,44.4,44.4
Men,Straight (Heterosexual),1,Druze,Normal,55.6,44.4
Men,Straight (Heterosexual),1,Druze,Normal,44.4,33.3
Men,Straight (Heterosexual),1,ELCA Lutheran,Normal,66.7,44.4
Men,Straight (Heterosexual),1,Episcopal,Normal,44.4,22.2
Men,Straight (Heterosexual),1,Episcopal,Normal,11.1,11.1
Men,Straight (Heterosexual),1,Episcopal,Normal,22.2,33.3
Men,Bisexual,3,Episcopal,Normal,66.7,55.6
Men,Straight (Heterosexual),1,Episcopal Catholic,Normal,44.4,33.3
Men,Queer/Questioning/Other,4,Episcopal Christian,Normal,66.7,55.6
Men,Straight (Heterosexual),1,Episcopalian,Normal,33.3,77.8
Men,Straight (Heterosexual),1,Episcopalian,Normal,22.2,33.3
Men,Straight (Heterosexual),1,Episcopalian,Normal,66.7,55.6
Men,Straight (Heterosexual),1,Episcopalian,Normal,55.6,22.2
Men,Gay/Lesbian,2,Episcopalian,Normal,77.8,66.7
Men,Gay/Lesbian,2,Episcopalian,Normal,44.4,11.1
Men,Straight (Heterosexual),1,Evangelical,Normal,33.3,22.2
Men,Straight (Heterosexual),1,Existentialism,Unusual,22.2,0.0
Men,Straight (Heterosexual),1,Exploring (primarily Christianity),Short explanation,33.3,44.4
Men,Straight (Heterosexual),1,Follow a higher power,Short explanation,22.2,22.2
Men,Straight (Heterosexual),1,Follower of Jesus Christ,Normal,66.7,66.7
Men,Gay/Lesbian,2,Former Christian,Short explanation,55.6,33.3
Men,Missing,99,Fuck off,Joke,55.6,44.4
Men,Gay/Lesbian,2,Gaea,Unusual,44.4,11.1
Men,Straight (Heterosexual),1,Global Methodist,Normal,22.2,55.6
Men,Straight (Heterosexual),1,Gnostic,Normal,66.7,66.7
Men,Straight (Heterosexual),1,God,Normal,11.1,0.0
Men,Straight (Heterosexual),1,God exist,Normal,33.3,33.3
Men,Straight (Heterosexual),1,God-Believer,Normal,100.0,100.0
Men,Straight (Heterosexual),1,Greek Orthodox,Normal,11.1,11.1
Men,Straight (Heterosexual),1,Heathen,Unusual,33.3,11.1
Men,Queer/Questioning/Other,4,Hellenist,Unusual,55.6,33.3
Men,Queer/Questioning/Other,4,Hellenist,Unusual,55.6,11.1
Men,Gay/Lesbian,2,Hellenistic Pagan,Unusual,100.0,0.0
Men,Straight (Heterosexual),1,Hindu and Orthodox Christian,Short explanation,88.9,0.0
Men,Straight (Heterosexual),1,Humanist,Normal,66.7,66.7
Men,Missing,99,Humanist,Normal,100.0,100.0
Men,Bisexual,3,I believe in GOD!,Joke,33.3,55.6
Men,Straight (Heterosexual),1,I believe in God our father i’m not “Just Christian”,Short explanation,0.0,33.3
Men,Straight (Heterosexual),1,I believe in god but I have a hard time believing modern religions.,Long explanation,66.7,88.9
Men,Straight (Heterosexual),1,I believe that interpretation (the act of bridging the gap (communicating between two entirely seperate souls)) is god. Art is religious ritual because it engages in interpretation. interpretation is the unknown that affects our lives for eternity - it is the single unknown that rules our universe and therefore is god.,Long explanation,44.4,22.2
Men,Straight (Heterosexual),1,I grew up Mormon but do not know where I stand with religion as of now,Long explanation,66.7,33.3
Men,Queer/Questioning/Other,4,I love the bible and Jesus,Short explanation,66.7,55.6
Men,Straight (Heterosexual),1,Idk,Other,44.4,44.4
Men,Straight (Heterosexual),1,Im diving into christianity and I want to believe in god.,Long explanation,66.7,66.7
Men,Bisexual,3,Indigenous,Unusual,66.7,33.3
Men,Queer/Questioning/Other,4,Indigenous Religion,Unusual,77.8,11.1
Men,Straight (Heterosexual),1,Indigenous traditional,Unusual,55.6,55.6
Men,Straight (Heterosexual),1,Interfaith,Short explanation,55.6,22.2
Men,Straight (Heterosexual),1,Israelite,Normal,11.1,22.2
Men,Missing,99,It’s complicated,Other,100.0,100.0
Men,Straight (Heterosexual),1,Jain,Normal,11.1,33.3
Men,Straight (Heterosexual),1,Jain,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Jain,Normal,11.1,22.2
Men,Straight (Heterosexual),1,Jain,Normal,33.3,55.6
Men,Straight (Heterosexual),1,Jain,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Jain,Normal,55.6,66.7
Men,Straight (Heterosexual),1,Jain,Normal,0.0,88.9
Men,Straight (Heterosexual),1,Jain,Normal,44.4,55.6
Men,Straight (Heterosexual),1,Jain,Normal,33.3,0.0
Men,Straight (Heterosexual),1,Jain,Normal,66.7,66.7
Men,Straight (Heterosexual),1,Jain,Normal,88.9,66.7
Men,Bisexual,3,Jain,Normal,55.6,11.1
Men,Bisexual,3,Jain,Normal,44.4,33.3
Men,Straight (Heterosexual),1,Jainism,Normal,44.4,77.8
Men,Straight (Heterosexual),1,Jainism,Normal,0.0,11.1
Men,Straight (Heterosexual),1,Jainism,Normal,11.1,11.1
Men,Straight (Heterosexual),1,Jeahovah witnesses,Normal,11.1,22.2
Men,Straight (Heterosexual),1,Jesus of the Bible,Normal,66.7,100.0
Men,Bisexual,3,Jewish + Christian,Short explanation,66.7,55.6
Men,Straight (Heterosexual),1,Kanaka Oiwi system,Unusual,33.3,55.6
Men,Straight (Heterosexual),1,Lutheran,Normal,33.3,44.4
Men,Straight (Heterosexual),1,Lutheran,Normal,66.7,55.6
Men,Straight (Heterosexual),1,Lutheran,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Lutheran,Normal,0.0,22.2
Men,Straight (Heterosexual),1,Lutheran,Normal,11.1,33.3
Men,Straight (Heterosexual),1,Lutheran,Normal,22.2,88.9
Men,Straight (Heterosexual),1,Lutheran,Normal,33.3,44.4
Men,Straight (Heterosexual),1,Lutheran,Normal,11.1,88.9
Men,Straight (Heterosexual),1,Lutheran,Normal,55.6,77.8
Men,Straight (Heterosexual),1,Lutheran,Normal,0.0,100.0
Men,Straight (Heterosexual),1,Lutheran,Normal,55.6,44.4
Men,Straight (Heterosexual),1,Lutheran,Normal,100.0,100.0
Men,Straight (Heterosexual),1,Lutheran,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Lutheran,Normal,0.0,88.9
Men,Straight (Heterosexual),1,Lutheran,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Lutheran,Normal,44.4,44.4
Men,Straight (Heterosexual),1,Lutheran,Normal,11.1,33.3
Men,Straight (Heterosexual),1,Lutheran,Normal,11.1,33.3
Men,Straight (Heterosexual),1,Lutheran,Normal,22.2,66.7
Men,Straight (Heterosexual),1,Lutheran,Normal,0.0,33.3
Men,Straight (Heterosexual),1,Lutheran,Normal,55.6,55.6
Men,Straight (Heterosexual),1,Lutheran,Normal,0.0,88.9
Men,Straight (Heterosexual),1,Lutheran,Normal,55.6,44.4
Men,Straight (Heterosexual),1,Lutheran,Normal,66.7,66.7
Men,Straight (Heterosexual),1,Lutheran,Normal,66.7,66.7
Men,Straight (Heterosexual),1,Lutheran,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Lutheran,Normal,100.0,100.0
Men,Straight (Heterosexual),1,Lutheran,Normal,77.8,77.8
Men,Bisexual,3,Lutheran,Normal,55.6,11.1
Men,Straight (Heterosexual),1,"Lutheran (LCMS) (the original Protestants, who are very different from Baptists, Methodists, Pentecostals, and especially Jehovah's Witnesses, who are not Christian. I will not select an option that includes Jehovah's Witnesses in the list of examples.) (By the way, JWs don't even consider themselves to be Protestants either: https://www.jw.org/en/jehovahs-witnesses/faq/are-jehovahs-witnesses-protestants/)",Long explanation,100.0,100.0
Men,Straight (Heterosexual),1,Lutheran (a branch off from Catholic),Short explanation,11.1,22.2
Men,Queer/Questioning/Other,4,Lutheran (an offshoot of Christianity),Short explanation,66.7,66.7
Men,Straight (Heterosexual),1,Lutheran Christian,Normal,66.7,100.0
Men,Straight (Heterosexual),1,Lutheran Orthodox,Normal,44.4,66.7
Men,Queer/Questioning/Other,4,Ma’hi,Unusual,55.6,0.0
Men,Straight (Heterosexual),1,Mennonite,Normal,44.4,0.0
Men,Straight (Heterosexual),1,Methodist,Normal,66.7,100.0
Men,Queer/Questioning/Other,4,Methodist & Muslim,Short explanation,100.0,100.0
Men,Straight (Heterosexual),1,Methodist Christian,Normal,44.4,55.6
Men,Straight (Heterosexual),1,Methodist Christian,Normal,0.0,100.0
Men,Straight (Heterosexual),1,Military beliefs,Other,33.3,66.7
Men,Straight (Heterosexual),1,Money,Joke,22.2,33.3
Men,Bisexual,3,Monism,Unusual,66.7,44.4
Men,Straight (Heterosexual),1,Mormon,Normal,33.3,44.4
Men,Gay/Lesbian,2,"Mystical/Spiritual, originally Catholic",Short explanation,77.8,11.1
Men,Missing,99,N/A,Other,66.7,33.3
Men,Straight (Heterosexual),1,N/a,Other,44.4,66.7
Men,Straight (Heterosexual),1,NA,Other,33.3,33.3
Men,Missing,99,Native American,Unusual,0.0,0.0
Men,Gay/Lesbian,2,Neopagan,Unusual,100.0,0.0
Men,Straight (Heterosexual),1,No,Other,0.0,0.0
Men,Straight (Heterosexual),1,No religion,Other,88.9,66.7
Men,Straight (Heterosexual),1,Non Denominational Christian,Normal,44.4,33.3
Men,Bisexual,3,Non Denominational Christian,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Non denominational,Normal,33.3,22.2
Men,Straight (Heterosexual),1,Non denominational,Normal,100.0,100.0
Men,Straight (Heterosexual),1,Non denominational Christian,Normal,0.0,33.3
Men,Straight (Heterosexual),1,Non denominational Christian,Normal,88.9,100.0
Men,Straight (Heterosexual),1,Non denominational Christian,Normal,22.2,33.3
Men,Straight (Heterosexual),1,Non denominational christian,Normal,44.4,55.6
Men,Straight (Heterosexual),1,Non denominational practicing christian,Short explanation,66.7,66.7
Men,Queer/Questioning/Other,4,"Non organized, folk religion",Short explanation,66.7,22.2
Men,Straight (Heterosexual),1,Non-Denominational Christian,Normal,88.9,100.0
Men,Straight (Heterosexual),1,Non-Denominational Christian,Normal,66.7,66.7
Men,Gay/Lesbian,2,Non-commercialized,Other,33.3,0.0
Men,Straight (Heterosexual),1,Non-denominational,Normal,11.1,66.7
Men,Straight (Heterosexual),1,Non-denominational Christian,Normal,55.6,33.3
Men,Straight (Heterosexual),1,Non-denominational christian,Normal,33.3,44.4
Men,Straight (Heterosexual),1,Nondenominational Christian,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Nondualist,Unusual,100.0,44.4
Men,Straight (Heterosexual),1,None,Other,0.0,0.0
Men,Straight (Heterosexual),1,None,Other,44.4,33.3
Men,Straight (Heterosexual),1,None,Other,44.4,11.1
Men,Bisexual,3,Norse Pagan/Heathen,Short explanation,11.1,11.1
Men,Straight (Heterosexual),1,Norse pegan,Unusual,33.3,44.4
Men,Straight (Heterosexual),1,Not said,Other,44.4,0.0
Men,Straight (Heterosexual),1,Not sure,Other,33.3,33.3
Men,Straight (Heterosexual),1,Not sure,Other,66.7,66.7
Men,Straight (Heterosexual),1,Not sure,Other,77.8,66.7
Men,Straight (Heterosexual),1,Nunya,Joke,55.6,100.0
Men,Straight (Heterosexual),1,Omnist,Unusual,55.6,44.4
Men,Queer/Questioning/Other,4,PFNTS,Other,88.9,100.0
Men,Gay/Lesbian,2,Pagan,Unusual,100.0,100.0
Men,Bisexual,3,Pagan,Unusual,33.3,0.0
Men,Bisexual,3,Pagan,Unusual,55.6,0.0
Men,Bisexual,3,Pagan,Unusual,88.9,0.0
Men,Queer/Questioning/Other,4,Pagan,Unusual,77.8,22.2
Men,Queer/Questioning/Other,4,Pagan,Unusual,11.1,0.0
Men,Queer/Questioning/Other,4,Pagan,Unusual,11.1,0.0
Men,Missing,99,Pagan,Unusual,66.7,66.7
Men,Queer/Questioning/Other,4,"Pagan, Greek/roman/norse pantheons",Short explanation,44.4,11.1
Men,Bisexual,3,Pagen,Unusual,11.1,0.0
Men,Straight (Heterosexual),1,Pan-African,Other,55.6,11.1
Men,Queer/Questioning/Other,4,Pandeistic,Unusual,66.7,44.4
Men,Queer/Questioning/Other,4,Pantheist,Unusual,77.8,0.0
Men,Straight (Heterosexual),1,Pantheist Pagan,Unusual,22.2,77.8
Men,Straight (Heterosexual),1,Pastafarian,Joke,33.3,33.3
Men,Straight (Heterosexual),1,Personal spiritual Journey,Short explanation,33.3,33.3
Men,Straight (Heterosexual),1,Polish Catholic,Normal,22.2,55.6
Men,Straight (Heterosexual),1,Polytheistic,Unusual,66.7,66.7
Men,Bisexual,3,Polytheistic,Unusual,44.4,0.0
Men,Straight (Heterosexual),1,Prefer not to answer,Other,100.0,100.0
Men,Straight (Heterosexual),1,Prefer not to say,Other,66.7,44.4
Men,Straight (Heterosexual),1,Prefer not to say,Other,44.4,66.7
Men,Straight (Heterosexual),1,Prefer not to say,Other,33.3,55.6
Men,Straight (Heterosexual),1,Prefer not to say,Other,33.3,33.3
Men,Straight (Heterosexual),1,Prefer not to say,Other,88.9,66.7
Men,Bisexual,3,Prefer not to say,Other,33.3,0.0
Men,Missing,99,Prefer not to say,Other,66.7,44.4
Men,Straight (Heterosexual),1,Prefer not to tell.,Other,55.6,44.4
Men,Straight (Heterosexual),1,Presbyterian,Normal,33.3,55.6
Men,Straight (Heterosexual),1,Presbyterian,Normal,11.1,11.1
Men,Straight (Heterosexual),1,Presbyterian,Normal,22.2,66.7
Men,Straight (Heterosexual),1,Presbyterian,Normal,33.3,33.3
Men,Missing,99,Presbyterian,Normal,11.1,33.3
Men,Straight (Heterosexual),1,Presbyterian Christian,Normal,55.6,55.6
Men,Straight (Heterosexual),1,Quaker,Normal,100.0,100.0
Men,Bisexual,3,Quaker,Normal,66.7,66.7
Men,Queer/Questioning/Other,4,Quaker,Normal,66.7,44.4
Men,Straight (Heterosexual),1,Rasta,Normal,22.2,33.3
Men,Queer/Questioning/Other,4,Reformed Christian,Normal,66.7,66.7
Men,Queer/Questioning/Other,4,Reformed Christian,Normal,66.7,66.7
Men,Queer/Questioning/Other,4,Religio Romana,Unusual,66.7,66.7
Men,Queer/Questioning/Other,4,SBNR,Normal,66.7,66.7
Men,Straight (Heterosexual),1,SDA,Normal,0.0,11.1
Men,Straight (Heterosexual),1,Satanism,Joke,55.6,0.0
Men,Straight (Heterosexual),1,Secular,Normal,88.9,0.0
Men,Straight (Heterosexual),1,Sedevacantist,Normal,11.1,100.0
Men,Straight (Heterosexual),1,Seventh day Adventist,Normal,33.3,44.4
Men,Straight (Heterosexual),1,Seventh day Adventist,Normal,66.7,33.3
Men,Straight (Heterosexual),1,Seventh day Adventist,Normal,55.6,55.6
Men,Straight (Heterosexual),1,Seventh day Adventist,Normal,55.6,66.7
Men,Straight (Heterosexual),1,Seventh day adventage,Normal,0.0,0.0
Men,Straight (Heterosexual),1,Seventh day adventist,Normal,33.3,22.2
Men,Straight (Heterosexual),1,Seventh-Day Adventist,Normal,66.7,77.8
Men,Straight (Heterosexual),1,Shik,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Shinto,Normal,22.2,22.2
Men,Straight (Heterosexual),1,Shinto,Normal,44.4,22.2
Men,Straight (Heterosexual),1,Shinto,Normal,100.0,0.0
Men,Straight (Heterosexual),1,Sikh,Normal,33.3,22.2
Men,Straight (Heterosexual),1,Sikh,Normal,55.6,77.8
Men,Straight (Heterosexual),1,Sikh,Normal,66.7,66.7
Men,Straight (Heterosexual),1,Sikh,Normal,22.2,0.0
Men,Straight (Heterosexual),1,Sikh,Normal,44.4,55.6
Men,Straight (Heterosexual),1,Sikh,Normal,33.3,22.2
Men,Straight (Heterosexual),1,Sikh,Normal,11.1,55.6
Men,Straight (Heterosexual),1,Sikh,Normal,22.2,33.3
Men,Straight (Heterosexual),1,Sikh,Normal,33.3,44.4
Men,Straight (Heterosexual),1,Sikh,Normal,22.2,22.2
Men,Straight (Heterosexual),1,Sikh,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Sikh,Normal,33.3,55.6
Men,Straight (Heterosexual),1,Sikh,Normal,22.2,0.0
Men,Straight (Heterosexual),1,Sikh,Normal,55.6,0.0
Men,Straight (Heterosexual),1,Sikh,Normal,66.7,22.2
Men,Straight (Heterosexual),1,Sikh,Normal,33.3,11.1
Men,Straight (Heterosexual),1,Sikh,Normal,55.6,55.6
Men,Straight (Heterosexual),1,Sikh,Normal,33.3,44.4
Men,Straight (Heterosexual),1,Sikh,Normal,33.3,22.2
Men,Straight (Heterosexual),1,Sikh,Normal,100.0,100.0
Men,Straight (Heterosexual),1,Sikh,Normal,33.3,11.1
Men,Straight (Heterosexual),1,Sikh,Normal,55.6,55.6
Men,Straight (Heterosexual),1,Sikh,Normal,44.4,55.6
Men,Straight (Heterosexual),1,Sikh,Normal,22.2,55.6
Men,Straight (Heterosexual),1,Sikh,Normal,33.3,44.4
Men,Straight (Heterosexual),1,Sikh,Normal,66.7,66.7
Men,Straight (Heterosexual),1,Sikh,Normal,0.0,11.1
Men,Straight (Heterosexual),1,Sikh,Normal,66.7,44.4
Men,Straight (Heterosexual),1,Sikh,Normal,44.4,44.4
Men,Straight (Heterosexual),1,Sikh,Normal,11.1,11.1
Men,Bisexual,3,Sikh,Normal,66.7,66.7
Men,Queer/Questioning/Other,4,Sikh,Normal,66.7,22.2
Men,Straight (Heterosexual),1,Sikhism,Normal,22.2,44.4
Men,Straight (Heterosexual),1,Sikhism,Normal,100.0,100.0
Men,Straight (Heterosexual),1,Sikhism,Normal,22.2,33.3
Men,Straight (Heterosexual),1,Sikhism,Normal,0.0,0.0
Men,Straight (Heterosexual),1,Sikhism,Normal,44.4,55.6
Men,Straight (Heterosexual),1,Sikhism,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Spaghetti Monsters,Joke,55.6,0.0
Men,Straight (Heterosexual),1,Spiritual,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Spiritual,Normal,33.3,33.3
Men,Straight (Heterosexual),1,Spiritual,Normal,44.4,66.7
Men,Straight (Heterosexual),1,Spiritual,Normal,33.3,11.1
Men,Straight (Heterosexual),1,Spiritual,Normal,55.6,22.2
Men,Straight (Heterosexual),1,Spiritual,Normal,66.7,22.2
Men,Straight (Heterosexual),1,Spiritual,Normal,100.0,100.0
Men,Straight (Heterosexual),1,Spiritual,Normal,100.0,88.9
Men,Straight (Heterosexual),1,Spiritual,Normal,100.0,100.0
Men,Straight (Heterosexual),1,Spiritual,Normal,44.4,33.3
Men,Straight (Heterosexual),1,Spiritual,Normal,55.6,66.7
Men,Straight (Heterosexual),1,Spiritual,Normal,44.4,66.7
Men,Gay/Lesbian,2,Spiritual,Normal,22.2,0.0
Men,Gay/Lesbian,2,Spiritual,Normal,22.2,22.2
Men,Queer/Questioning/Other,4,Spiritual,Normal,44.4,0.0
Men,Queer/Questioning/Other,4,Spiritual,Normal,55.6,0.0
Men,Straight (Heterosexual),1,Spiritual/believe in God but no specific religion,Short explanation,44.4,55.6
Men,Straight (Heterosexual),1,Spiritualism,Normal,0.0,11.1
Men,Straight (Heterosexual),1,Spiritualism,Normal,0.0,0.0
Men,Queer/Questioning/Other,4,Spiritualist,Normal,55.6,33.3
Men,Straight (Heterosexual),1,"Spiritually minded, I do not subscribe to one religion",Long explanation,44.4,44.4
Men,Missing,99,Tantric Buddhist,Normal,66.7,66.7
Men,Straight (Heterosexual),1,Taoist,Normal,66.7,88.9
Men,Missing,99,Taoist,Normal,44.4,77.8
Men,Straight (Heterosexual),1,Taoist & Buddhist,Short explanation,22.2,55.6
Men,Straight (Heterosexual),1,Theism,Unusual,33.3,44.4
Men,Straight (Heterosexual),1,Unitarian,Normal,88.9,55.6
Men,Straight (Heterosexual),1,Unsure,Other,33.3,66.7
Men,Bisexual,3,Wicca,Unusual,66.7,0.0
Men,Straight (Heterosexual),1,Yazidi,Normal,33.3,55.6
Men,Straight (Heterosexual),1,Yeshua (Jah),Short explanation,44.4,55.6
Men,Straight (Heterosexual),1,Zoroastrian,Normal,66.7,66.7
Men,Straight (Heterosexual),1,bahai,Normal,44.4,44.4
Men,Straight (Heterosexual),1,baptist,Normal,22.2,33.3
Men,Straight (Heterosexual),1,"biblical belief, don’t claim religion",Short explanation,44.4,55.6
Men,Straight (Heterosexual),1,catholic,Normal,22.2,44.4
Men,Missing,99,contestant,Joke,100.0,100.0
Men,Straight (Heterosexual),1,hindu and atheist,Short explanation,100.0,100.0
Men,Straight (Heterosexual),1,i dont even know right now i was raised christian though,Short explanation,55.6,11.1
Men,Straight (Heterosexual),1,im in direct communication with god,Joke,0.0,0.0
Men,Straight (Heterosexual),1,jain,Normal,0.0,0.0
Men,Straight (Heterosexual),1,jainism,Normal,55.6,33.3
Men,Straight (Heterosexual),1,lutheran,Normal,44.4,44.4
Men,Straight (Heterosexual),1,na,Other,22.2,44.4
Men,Straight (Heterosexual),1,no,Other,55.6,44.4
Men,Straight (Heterosexual),1,none,Other,100.0,100.0
Men,Straight (Heterosexual),1,none,Other,33.3,44.4
Men,Straight (Heterosexual),1,none,Other,11.1,22.2
Men,Straight (Heterosexual),1,other,Other,22.2,0.0
Men,Straight (Heterosexual),1,other,Other,0.0,100.0
Men,Straight (Heterosexual),1,prefer not say,Other,22.2,0.0
Men,Straight (Heterosexual),1,prefer not to say,Other,0.0,0.0
Men,Missing,99,raised Catholic,Short explanation,55.6,33.3
Men,Straight (Heterosexual),1,sikh,Normal,22.2,44.4
Men,Straight (Heterosexual),1,sikh,Normal,11.1,0.0
Men,Straight (Heterosexual),1,sikh,Normal,44.4,33.3
Men,Straight (Heterosexual),1,sikh,Normal,33.3,11.1
Men,Straight (Heterosexual),1,sikh,Normal,0.0,22.2
Men,Straight (Heterosexual),1,spiritual,Normal,66.7,44.4
Men,Gay/Lesbian,2,spiritual,Normal,44.4,22.2
Men,Straight (Heterosexual),1,taoism,Normal,11.1,0.0
Men,Straight (Heterosexual),1,theistic,Unusual,44.4,44.4
Men,Straight (Heterosexual),1,‘,Other,55.6,33.3
Nonbinary,Missing,99,ATR,Unusual,77.8,11.1
Nonbinary,Bisexual,3,Agnostic Atheist,Normal,66.7,44.4
Nonbinary,Queer/Questioning/Other,4,Agnostic theist,Normal,55.6,33.3
