surveyyear,surveymonth,survey,caseid,weight,birthyr,gender,race,hispanic,educ,marstat,employ,faminc_new,child18,pid3,pid7,presvote20post,turnout24post,presvote24post,inputstate,urbancity2,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,tracker,firstamend,secure,losejob,scmonth,mostoffensive,comspeech,tchcollege,keeplib,fired,colpol,shoutdown_gp,violence_gp,confbiden,conftrump,encterrifying,encintimidating,encthreatening,encharassing,encannoying,encdisturbing,encindecent,gtrustterrifying,gtrustintimidating,gtrustthreatening,gtrustharassing,gtrustannoying,gtrustdisturbing,gtrustindecent,stdntipcprotests,colipcprotests,censorhamas,ballotrght,criticizerght,speekfreelyrght,profanityrght,parodyrght,ballotimpt,criticizeimpt,speekfreelyimpt,profanityimpt,pardoyimpt,wordsviolence,confharris,offendtrans,offendabortion,offendblm,offendillegalimmig,offendchurch,offendpolice,offend911,offendchildren,ballotselfie,confsupcrt,confnewsom,rescindfunds_antisem,rescindfunds_propalestine,rescindfunds_dei,deportstdnt_propalestine,deportforeign_propalestine,deportforeign_tattoo,ps_preventbook,ps_preventsexidbook,ps_preventgenderidbook,ps_preventraceidbook,consequences,wordsviolence_matrix,silenceviolence,polviol_prog,polviol_cons,polviol_allgrps,punchnazi,biblethumpers,maga_prof,indoctrinate,jawbone_socmedia,jawbone_video,jawbone_tech,jawbone_prvtbroadcast,jawbone_banks,govtreg_ai,daily_ai,expressreg_ai,socmedia_ai,govtcrit_ai,parody_ai,account_ai
2024,April,2,1544314400,1.380266874,1975,1,1,2,6,1,5,5,1,3,4,2,98,98,2,98,1,3,1,11,4,1,3,1,2,5,1,3,4,98,98,98,98,98,1,3,4,1,3,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1543965648,0.702309914,1978,2,1,2,3,1,2,9,1,3,4,3,98,98,4,98,1,3,4,1,4,2,2,6,2,4,3,4,2,98,98,98,98,98,1,4,4,2,2,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314090,0.560541947,1968,2,1,2,2,5,7,2,1,3,3,1,98,98,36,98,1,3,1,11,6,2,4,6,1,1,3,3,3,98,98,98,98,98,3,4,4,5,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544315390,1.222602952,2004,1,1,2,2,5,8,97,2,5,4,6,98,98,48,98,3,6,4,2,2,1,2,3,1,4,4,4,3,98,98,98,98,98,4,3,3,2,2,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1543923974,1.506324394,1968,1,1,2,6,3,1,14,2,2,7,2,98,98,42,98,1,4,1,2,7,2,2,5,2,5,1,2,5,98,98,98,98,98,2,4,4,1,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544281954,1.367389232,1963,1,1,2,3,5,9,2,2,2,7,2,98,98,13,98,1,5,1,1,5,1,2,2,2,5,1,2,5,98,98,98,98,98,1,3,4,1,5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314724,0.740506054,1998,1,1,2,6,1,1,11,1,1,1,1,98,98,6,98,1,3,1,2,1,1,1,5,1,2,3,2,3,98,98,98,98,98,4,2,3,2,2,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314688,0.688930073,1993,2,1,2,3,5,2,3,2,3,3,1,98,98,6,98,1,2,3,12,2,2,2,6,2,5,3,2,4,98,98,98,98,98,2,3,4,3,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544315270,1.440855037,1995,2,1,2,3,1,7,7,1,3,5,2,98,98,49,98,1,2,4,8,5,2,2,1,1,99,3,5,4,98,98,98,98,98,3,4,4,2,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314306,0.950252188,1956,2,1,2,99,1,5,5,2,1,1,1,98,98,53,98,1,1,1,11,6,2,4,7,2,5,1,3,5,98,98,98,98,98,5,1,2,3,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544011534,0.852188756,1991,1,1,2,99,1,1,14,2,3,3,1,98,98,6,98,1,2,1,10,6,2,4,7,1,5,5,5,1,98,98,98,98,98,2,1,4,5,5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544235032,1.015784652,1957,1,1,2,99,1,1,7,2,3,5,2,98,98,51,98,1,5,1,2,1,2,1,3,2,5,1,5,3,98,98,98,98,98,1,3,4,1,5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314650,1.929651445,1991,1,1,2,99,99,2,3,2,2,7,2,98,98,13,98,1,3,3,2,2,1,1,2,1,5,4,2,4,98,98,98,98,98,3,2,3,2,5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1542753210,0.868356959,1984,1,1,2,2,5,1,4,2,1,1,1,98,98,21,98,1,1,1,9,6,2,4,7,1,5,4,5,3,98,98,98,98,98,2,2,4,99,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314632,1.534716825,1988,2,1,2,6,5,1,6,1,2,6,6,98,98,45,98,1,4,2,1,1,1,1,1,2,5,3,3,4,98,98,98,98,98,2,4,4,2,3,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1543828084,0.836696489,1976,1,1,2,6,1,1,9,2,1,1,1,98,98,6,98,1,1,1,9,6,2,4,7,1,5,5,5,2,98,98,98,98,98,3,3,4,5,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544098878,0.612123239,1960,1,1,2,99,1,5,97,2,1,1,1,98,98,6,98,1,2,1,2,6,2,4,6,2,99,3,2,2,98,98,98,98,98,1,4,4,99,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544277964,0.89538405,1957,2,1,2,99,4,2,97,2,1,1,1,98,98,8,98,1,2,2,1,2,2,2,1,2,5,3,4,2,98,98,98,98,98,3,3,4,5,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1543699988,1.18707768,1969,2,6,2,99,1,7,4,2,2,7,2,98,98,48,98,1,5,1,12,5,2,1,1,2,5,1,5,1,98,98,98,98,98,1,4,4,1,5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1542987658,0.700934252,1970,2,1,2,3,1,6,11,2,1,1,1,98,98,1,98,1,1,1,1,5,2,2,2,2,1,1,1,1,98,98,98,98,98,1,4,4,5,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314426,0.472710937,1997,2,6,1,6,5,1,5,2,1,2,1,98,98,18,98,1,1,1,10,6,2,3,6,2,5,3,2,3,98,98,98,98,98,4,1,3,3,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1542499304,0.904591456,1975,1,1,2,3,5,1,9,2,3,3,1,98,98,39,98,1,3,1,2,2,2,2,3,2,5,3,4,2,98,98,98,98,98,2,4,4,5,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1543830540,1.492278281,1960,1,3,1,3,1,1,11,2,3,3,1,98,98,8,98,1,3,1,1,3,1,1,3,2,1,4,2,5,98,98,98,98,98,4,4,4,99,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314408,1.057343675,1977,1,1,2,3,5,1,4,2,2,7,2,98,98,16,98,1,5,1,1,4,2,1,1,2,1,1,5,4,98,98,98,98,98,2,4,4,1,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1543083642,0.811428837,1999,2,1,2,99,5,1,8,2,1,1,1,98,98,21,98,1,1,1,10,4,2,4,7,2,1,3,5,3,98,98,98,98,98,3,3,4,3,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544238958,1.189135037,1965,1,1,2,2,1,1,5,2,4,4,2,98,98,18,98,1,3,1,11,6,2,4,7,2,1,4,4,3,98,98,98,98,98,1,4,4,2,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544282214,1.143288428,1960,2,1,2,3,1,5,8,2,3,4,2,98,98,42,98,1,3,1,1,2,2,1,1,2,5,1,2,1,98,98,98,98,98,1,4,4,1,5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1543221006,0.759139203,1981,2,1,2,2,99,6,4,2,5,4,6,98,98,12,98,2,6,4,11,6,2,4,7,2,5,1,5,3,98,98,98,98,98,1,3,3,1,3,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1543219590,1.156304995,1962,2,1,2,3,1,2,5,2,2,7,2,98,98,5,98,1,5,1,11,5,2,3,3,2,4,1,4,4,98,98,98,98,98,2,3,4,1,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314674,0.698877392,1969,1,7,2,3,1,1,8,2,3,5,2,98,98,51,98,1,4,2,3,7,2,2,4,2,2,3,4,3,98,98,98,98,98,1,4,4,1,5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314576,1.088289415,1977,2,1,2,2,1,7,9,1,2,7,2,98,98,32,98,1,5,2,11,6,2,4,7,2,99,3,2,3,98,98,98,98,98,3,4,4,1,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544141064,1.367389232,1962,1,1,2,99,1,5,10,2,2,7,2,98,98,48,98,1,4,2,11,6,2,4,7,2,4,3,3,1,98,98,98,98,98,1,2,3,1,5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544199944,1.247126437,1958,2,1,2,99,1,2,7,2,2,7,2,98,98,36,98,1,4,1,12,5,1,2,2,1,5,3,5,3,98,98,98,98,98,2,4,4,1,5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314430,1.159660406,1969,2,3,1,2,3,4,9,2,3,5,6,98,98,9,98,1,3,4,2,4,2,2,6,2,99,1,5,2,98,98,98,98,98,1,4,4,1,3,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1543301618,1.041790728,1965,2,1,2,6,1,1,12,2,1,2,2,98,98,29,98,1,3,1,1,5,2,3,3,2,5,3,2,4,98,98,98,98,98,2,3,4,2,3,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1542054930,1.069863279,1958,2,1,2,2,3,5,8,2,1,1,1,98,98,32,98,2,2,1,11,5,2,4,3,2,5,3,5,2,98,98,98,98,98,2,4,4,5,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544142950,0.712337557,1948,2,1,2,3,1,5,97,2,1,1,1,98,98,39,98,1,2,1,2,4,2,2,2,2,1,1,5,4,98,98,98,98,98,3,3,4,99,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544021794,1.226984011,1997,2,1,2,99,1,7,11,1,5,5,2,98,98,48,98,1,4,3,1,2,1,1,1,2,5,4,2,3,98,98,98,98,98,1,4,4,3,3,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544189232,1.477081546,1958,2,1,2,3,1,5,10,2,3,3,2,98,98,41,98,1,3,1,1,4,1,1,1,2,2,3,5,3,98,98,98,98,98,3,4,4,99,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544240132,0.62296478,1956,2,1,2,99,1,6,3,2,1,2,1,98,98,39,98,1,3,2,1,5,1,1,2,2,1,3,5,4,98,98,98,98,98,4,4,4,99,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544100168,1.465135705,1952,1,1,2,99,1,5,13,2,2,6,2,98,98,16,98,1,4,1,2,6,2,2,6,2,5,1,1,4,98,98,98,98,98,2,3,4,1,3,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
