Variable,VariableLabel,Value,ValueLabel
urbancity2,Type of residential area,1,Big city
,,2,Small city
,,3,Suburban area
,,4,Small town
,,5,Rural area
,,99,Skipped/Missing
votereg,Voter registration status,1,Yes
,,2,No
,,3,Don't know
,,99,Skipped/Missing
ideo5,Political ideology,1,Very liberal
,,2,Liberal
,,3,Moderate
,,4,Conservative
,,5,Very conservative
,,6,Not sure
,,99,Skipped/Missing
newsint,Political interest,1,Most of the time
,,2,Some of the time
,,3,Only now and then
,,4,Hardly at all
,,7,Don't know
,,99,Skipped/Missing
religpew,Religious affiliation,1,Protestant
,,2,Roman Catholic
,,3,Mormon
,,4,Eastern or Greek Orthodox
,,5,Jewish
,,6,Muslim
,,7,Buddhist
,,8,Hindu
,,9,Atheist
,,10,Agnostic
,,11,Nothing in particular
,,12,Something else
,,99,Skipped/Missing
pew_churatd,Frequency of Church attendance,1,More than once a week
,,2,Once a week
,,3,Once or twice a month
,,4,A few times a year
,,5,Seldom
,,6,Never
,,7,Don't know
,,99,Skipped/Missing
pew_bornagain,Born again?,1,Yes
,,2,No
,,99,Skipped/Missing
pew_religimp,Importance of religion?,1,Very important
,,2,Somewhat important
,,3,Not too important
,,4,Not at all important
,,99,Skipped/Missing
pew_prayer,Frequency of prayer,1,Several times a day
,,2,Once a day
,,3,A few times a week
,,4,Once a week
,,5,A few times a month
,,6,Seldom
,,7,Never
,,8,Don't know
,,99,Skipped/Missing
tracker,When it comes to whether people are able to freely express their views do you think things in America are heading in the RIGHT or WRONG direction?,1,Heading in the RIGHT direction
,,2,Heading in the WRONG direction
,,99,Skipped/Missing
firstamend,"The First Amendment became part of the U.S. Constitution more than 225 years ago. This is what it says: Congress shall make no law respecting an establishment of religion or prohibiting the free exercise thereof, or abridging the freedom of speech or of the press, or the right of the people peaceably to assemble, and to petition the government for a redress of grievances.” Based on your own thoughts about the First Amendment, can you tell us what you think about the following statement: The First Amendment goes too far in the rights it guarantees.”",1,Describes my thoughts completely
,,2,Mostly describes my thoughts
,,3,Somewhat descrbes my thoughts
,,4,Slightly describes my thoughts
,,5,Does not describe my thoughts at all
,,99,Skipped/Missing
secure,How secure do you think the right to freedom of speech is in America today?,1,Not at all secure
,,2,Not very secure
,,3,Somewhat secure
,,4,Very secure
,,5,Completely secure
,,99,Skipped/Missing
losejob,"How worried, if at all, are you about losing your job because someone complains about something you have said?",1,Very worried
,,2,Somewhat worried
,,3,Slightly worried
,,4,Not too worried
,,5,Not at all worried
,,99,Skipped/Missing
scmonth,"Think specifically about your life and all the interactions you have had in the past month. How often have you watched what you said – that is, possibly censored your comments, questions, or words?",1,Never
,,2,"Rarely, once or twice"
,,3,"Occasionally, a handful of times"
,,4,"Fairly often, a couple times a week"
,,5,"Very often, nearly every day"
,,99,Skipped/Missing
mostoffensive,"There are always some people whose ideas are considered offensive or dangerous by other people. Of the following ideas presented below, which one do you consider the most offensive?",1,Abortion should be completely illegal
,,2,Black Lives Matter is a hate group
,,3,Transgender people have a mental disorder
,,4,January 6th was a peaceful protest
,,5,The police are just as racist as the Ku Klux Klan
,,6,All whites are racist oppressors
,,7,The federal government should confiscate all guns
,,8,The Catholic church is a pedophilic institution
,,9,"We shouldn't ignore differences in IQ scores by race, ethnicity, and gender when making important decisions"
,,10,From the river to the sea Palestine will be free
,,11,Collateral damage in Gaza is justified for the sake of Israeli security
,,12,America got what it deserved on 9/11
,,98,Not in survey
,,99,Skipped/Missing
comspeech,Do you think your local community should ALLOW or NOT ALLOW someone to give a public speech who has previously said that [insert most offensive selection from checklist]?,1,My local community definitely should not allow this person to give a public speech
,,2,My local community probably should not allow this person to give a public speech
,,3,My local community probably should allow this person to give a public speech
,,4,My local community definitely should allow this speaker to give a public speech
,,98,Not in survey
,,99,Skipped/Missing
tchcollege,Do you think the local college should ALLOW or NOT ALLOW someone to teach there who has previously said that [insert most offensive selection from checklist]?,1,The local college definitely should not allow this person to teach at the local college
,,2,The local college probably should not allow this person to teach at the local college
,,3,The local college probably should allow this person to teach at the local college
,,4,The local college definitely should allow this person to teach at the local college
,,98,Not in survey
keeplib,Do you think the public library should KEEP or NOT KEEP a book available on its shelves written by someone who has previously said that [insert most offensive selection from checklist]?,1,The public library definitely should not keep this persons book in the library
,,2,The public library probably should not keep this persons book in the library
,,3,The public library probably should keep this persons book in the library
,,4,The public library definitely should keep this persons book in the library
,,98,Not in survey
,,99,Skipped/Missing
fired,Do you think that someone who has previously said that [insert most offensive selection from checklist] SHOULD or SHOULD NOT be fired from their job?,1,This person definitely should not be fired from their job
,,2,This person probably should not be fired from their job
,,3,This person probably should be fired from their job
,,4,This person definitely should be fired from their job
,,98,Not in survey
,,99,Skipped/Missing
colpol,"How often, if at all, should colleges and universities take positions on political issues?",1,Never
,,2,Rarely
,,3,Sometimes
,,4,Often
,,5,Always
,,98,Not in survey
,,99,Skipped/Missing
shoutdown_gp,How acceptable would you say it is for someone to engage in the following actions to protest someone giving a speech in their community?: Shouting down a speaker to prevent them from delivering their remarks.,1,Always acceptable
,,2,Sometimes acceptable
,,3,Rarely acceptable
,,4,Never acceptable
,,98,Not in survey
,,99,Skipped/Missing
violence_gp,Using physical violence to stop the speech.,1,Always acceptable
,,2,Sometimes acceptable
,,3,Rarely acceptable
,,4,Never acceptable
,,98,Not in survey
,,99,Skipped/Missing
confbiden,"How much confidence, if any, do you have that Joe Biden will protect your First Amendment rights?",1,No confidence at all
,,2,Very little confidence
,,3,Some confidence
,,4,Quite a bit of confidence
,,5,My full confidence
,,98,Not in survey
,,99,Skipped/Missing
conftrump,"How much confidence, if any, do you have that Donald Trump will protect your First Amendment rights?",1,No confidence at all
,,2,Very little confidence
,,3,Some confidence
,,4,Quite a bit of confidence
,,5,My full confidence
,,98,Not in survey
,,99,Skipped/Missing
encterrifying,"How often, if at all, do you encounter speech online that is intended to be terrifying?",1,Never
,,2,Rarely
,,3,Occasionally
,,4,"Fairly often, a couple times a week"
,,5,"Very often, nearly every day"
,,98,Not in survey
,,99,Skipped/Missing
encintimidating,"How often, if at all, do you encounter speech online that is intended to be intimidating?",1,Never
,,2,Rarely
,,3,Occasionally
,,4,"Fairly often, a couple times a week"
,,5,"Very often, nearly every day"
,,98,Not in survey
,,99,Skipped/Missing
encthreatening,"How often, if at all, do you encounter speech online that is intended to be threatening?",1,Never
,,2,Rarely
,,3,Occasionally
,,4,"Fairly often, a couple times a week"
,,5,"Very often, nearly every day"
,,98,Not in survey
,,99,Skipped/Missing
encharassing,"How often, if at all, do you encounter speech online that is intended to be harassing?",1,Never
,,2,Rarely
,,3,Occasionally
,,4,"Fairly often, a couple times a week"
,,5,"Very often, nearly every day"
,,98,Not in survey
,,99,Skipped/Missing
encannoying,"How often, if at all, do you encounter speech online that is intended to be annoying?",1,Never
,,2,Rarely
,,3,Occasionally
,,4,"Fairly often, a couple times a week"
,,5,"Very often, nearly every day"
,,98,Not in survey
,,99,Skipped/Missing
encdisturbing,"How often, if at all, do you encounter speech online that is intended to be diturbing?",1,Never
,,2,Rarely
,,3,Occasionally
,,4,"Fairly often, a couple times a week"
,,5,"Very often, nearly every day"
,,98,Not in survey
,,99,Skipped/Missing
encindecent,"How often, if at all, do you encounter speech online that is intended to be diturbing?",1,"Very often, nearly every day"
,,2,"Fairly often, a couple times a week"
,,3,Occasionally
,,4,Rarely
,,5,Never
,,98,Not in survey
,,99,Skipped/Missing
gtrustterrifying,"How much, if at all, do you trust the government to make fair decisions about what speech is considered terrifying?",1,Do not trust at all
,,2,Trust a little
,,3,Trust somewhat
,,4,Trust very much
,,5,Trust completely
,,98,Not in survey
,,99,Skipped/Missing
gtrustintimidating,"How much, if at all, do you trust the government to make fair decisions about what speech is considered intimidating?",1,Do not trust at all
,,2,Trust a little
,,3,Trust somewhat
,,4,Trust very much
,,5,Trust completely
,,98,Not in survey
,,99,Skipped/Missing
gtrustthreatening,"How much, if at all, do you trust the government to make fair decisions about what speech is considered threatening?",1,Do not trust at all
,,2,Trust a little
,,3,Trust somewhat
,,4,Trust very much
,,5,Trust completely
,,98,Not in survey
,,99,Skipped/Missing
gtrustharassing,"How much, if at all, do you trust the government to make fair decisions about what speech is considered harassing?",1,Do not trust at all
,,2,Trust a little
,,3,Trust somewhat
,,4,Trust very much
,,5,Trust completely
,,98,Not in survey
,,99,Skipped/Missing
gtrustannoying,"How much, if at all, do you trust the government to make fair decisions about what speech is considered annoying?",1,Do not trust at all
,,2,Trust a little
,,3,Trust somewhat
,,4,Trust very much
,,5,Trust completely
,,98,Not in survey
,,99,Skipped/Missing
gtrustdisturbing,"How much, if at all, do you trust the government to make fair decisions about what speech is considered disturbing?",1,Do not trust at all
,,2,Trust a little
,,3,Trust somewhat
,,4,Trust very much
,,5,Trust completely
,,98,Not in survey
,,99,Skipped/Missing
gtrustindecent,"How much, if at all, do you trust the government to make fair decisions about what speech is considered indecent?",1,Do not trust at all
,,2,Trust a little
,,3,Trust somewhat
,,4,Trust very much
,,5,Trust completely
,,98,Not in survey
,,99,Skipped/Missing
stdntipcprotests,"How much, if at all, do you support or oppose the student protests being held on college and university campuses responding to Israel's actions in Gaza?",1,Strongly support the protests
,,2,Somewhat support the protests
,,3,Neither support nor oppose the protests
,,4,Somewhat oppose the protests
,,5,Strongly oppose the protests
,,98,Not in survey
,,99,Skipped/Missing
colipcprotests,Should colleges and universities have police arrest student protesters opposing the Israel-Hamas war in Gaza or should colleges allow the protests to continue as a matter of free speech?,1,Colleges and universities should have police arrest protesters
,,2,Colleges and universities should allow the protests to continue
,,3,Not sure
,,98,Not in survey
,,99,Skipped/Missing
censorhamas,"How comfortable, if at all, would you be with the United States limiting the free speech of people rallying in support of Hamas?",1,Not at all comfortable
,,2,Not very comfortable
,,3,Somewhat comfortable
,,4,Very comfortable
,,98,Not in survey
,,99,Skipped/Missing
ballotrght,Do you think that American citizens should or should not have the right to do each of the following?: Take a ballot selfie.,1,Definitely should not have the right
,,2,Probably should not have the right
,,3,Not sure
,,4,Probably should have the right
,,5,Definitely should have the right
,,98,Not in survey
,,99,Skipped/Missing
criticizerght,Do you think that American citizens should or should not have the right to do each of the following?: Criticize a public official during a council meeting,1,Definitely should not have the right
,,2,Probably should not have the right
,,3,Not sure
,,4,Probably should have the right
,,5,Definitely should have the right
,,98,Not in survey
speekfreelyrght,Do you think that American citizens should or should not have the right to do each of the following?: Speak freely during a public comment session.,1,Definitely should not have the right
,,2,Probably should not have the right
,,3,Not sure
,,4,Probably should have the right
,,5,Definitely should have the right
,,98,Not in survey
,,99,Skipped/Missing
profanityrght,Do you think that American citizens should or should not have the right to do each of the following?: Use profanity when speaing with elected officials.,1,Definitely should not have the right
,,2,Probably should not have the right
,,3,Not sure
,,4,Probably should have the right
,,5,Definitely should have the right
,,98,Not in survey
,,99,Skipped/Missing
parodyrght,Do you think that American citizens should or should not have the right to do each of the following?: Post a parody video mocking a candidate for public office.,1,Definitely should not have the right
,,2,Probably should not have the right
,,3,Not sure
,,4,Probably should have the right
,,5,Definitely should have the right
,,98,Not in survey
,,99,Skipped/Missing
ballotimpt,How important or unimportant is it that citizens have the right to do each of the following?: Take a ballot selfie.,1,Very unimportant
,,2,Unimportant
,,3,Neither important nor unimportant
,,4,Important
,,5,Very important
,,98,Not in survey
,,99,Skipped/Missing
criticizeimpt,How important or unimportant is it that citizens have the right to do each of the following?: Criticize a public official during a council meeting.,1,Very unimportant
,,2,Unimportant
,,3,Neither important nor unimportant
,,4,Important
,,5,Very important
,,98,Not in survey
,,99,Skipped/Missing
speekfreelyimpt,How important or unimportant is it that citizens have the right to do each of the following?: Speak freely during a public comment session.,1,Very unimportant
,,2,Unimportant
,,3,Neither important nor unimportant
,,4,Important
,,5,Very important
,,98,Not in survey
,,99,Skipped/Missing
profanityimpt,How important or unimportant is it that citizens have the right to do each of the following?: Use profanity when speaking with elected officials.,1,Very unimportant
,,2,Unimportant
,,3,Neither important nor unimportant
,,4,Important
,,5,Very important
,,98,Not in survey
,,99,Skipped/Missing
pardoyimpt,How important or unimportant is it that citizens have the right to do each of the following?: Post a parody video mocking a candidate for public office.,1,Very unimportant
,,2,Unimportant
,,3,Neither important nor unimportant
,,4,Important
,,5,Very important
,,98,Not in survey
,,99,Skipped/Missing
wordsviolence,"How much, if at all, does the following statement describe your thoughts: Words can be violence.”",1,Describes my thoughts completely
,,2,Mostly describes my thoughts
,,3,Somewhat descrbes my thoughts
,,4,Slightly describes my thoughts
,,5,Does not describe my thoughts at all
,,98,Not in survey
,,99,Skipped/Missing
confharris,"How much confidence, if any, do you have that Kamala Harris will protect your First Amendment rights?",1,No confidence at all
,,2,Very little confidence
,,3,Some confidence
,,4,Quite a bit of confidence
,,5,My full confidence
,,98,Not in survey
,,99,Skipped/Missing
offendtrans,The speakers listed below all previously expressed something that someone found offensive. How OFFENSIVE or NOT OFFENSIVE is what each of the following speakers previously said?: Transgender people have a mental disorder.,1,Not at all offensive
,,2,Not very offensive
,,3,Somewhat offensive
,,4,Very offensive
,,5,Extremely offensive
,,98,Not in survey
,,99,Skipped/Missing
offendabortion,The speakers listed below all previously expressed something that someone found offensive. How OFFENSIVE or NOT OFFENSIVE is what each of the following speakers previously said?: Abortion should be completely illegal.,1,Not at all offensive
,,2,Not very offensive
,,3,Somewhat offensive
,,4,Very offensive
,,5,Extremely offensive
,,98,Not in survey
,,99,Skipped/Missing
offendblm,The speakers listed below all previously expressed something that someone found offensive. How OFFENSIVE or NOT OFFENSIVE is what each of the following speakers previously said?: Black Lives Matter is a hate group.,1,Not at all offensive
,,2,Not very offensive
,,3,Somewhat offensive
,,4,Very offensive
,,5,Extremely offensive
,,98,Not in survey
,,99,Skipped/Missing
offendillegalimmig,The speakers listed below all previously expressed something that someone found offensive. How OFFENSIVE or NOT OFFENSIVE is what each of the following speakers previously said?: Illegal immigrants should be arrested and deported.,1,Not at all offensive
,,2,Not very offensive
,,3,Somewhat offensive
,,4,Very offensive
,,5,Extremely offensive
,,98,Not in survey
,,99,Skipped/Missing
offendchurch,The speakers listed below all previously expressed something that someone found offensive. How OFFENSIVE or NOT OFFENSIVE is what each of the following speakers previously said?: The Catholic church is a pedophilic institution.,1,Not at all offensive
,,2,Not very offensive
,,3,Somewhat offensive
,,4,Very offensive
,,5,Extremely offensive
,,98,Not in survey
,,99,Skipped/Missing
offendpolice,The speakers listed below all previously expressed something that someone found offensive. How OFFENSIVE or NOT OFFENSIVE is what each of the following speakers previously said?: The police are just as racist as the Ku Klux Klan.,1,Not at all offensive
,,2,Not very offensive
,,3,Somewhat offensive
,,4,Very offensive
,,5,Extremely offensive
,,98,Not in survey
,,99,Skipped/Missing
offend911,The speakers listed below all previously expressed something that someone found offensive. How OFFENSIVE or NOT OFFENSIVE is what each of the following speakers previously said?: America got what it deserved on 9/11.,1,Not at all offensive
,,2,Not very offensive
,,3,Somewhat offensive
,,4,Very offensive
,,5,Extremely offensive
,,98,Not in survey
,,99,Skipped/Missing
offendchildren,The speakers listed below all previously expressed something that someone found offensive. How OFFENSIVE or NOT OFFENSIVE is what each of the following speakers previously said?: Children should be able to transition without parental consent.,1,Not at all offensive
,,2,Not very offensive
,,3,Somewhat offensive
,,4,Very offensive
,,5,Extremely offensive
,,98,Not in survey
,,99,Skipped/Missing
ballotselfie,"Have you ever taken a picture of your ballot after voting (i.e., have you ever taken a ballot selfie)? If so, did you share that picture on social media?",1,I have never taken a ballot selfie.
,,2,"I have taken a ballot selfie, but did not share on social media."
,,3,I have taken and shared a ballot selfie on social media.
,,98,Not in survey
,,99,Skipped/Missing
confsupcrt,"How much confidence, if any, do you have that the Supreme Court will protect your First Amendment rights?",1,No confidence at all
,,2,Very little confidence
,,3,Some confidence
,,4,Quite a bit of confidence
,,5,My full confidence
,,98,Not in survey
,,99,Skipped/Missing
confnewsom,"How much confidence, if any, do you have that Gavin Newsom will protect your First Amendment rights?",1,No confidence at all
,,2,Very little confidence
,,3,Some confidence
,,4,Quite a bit of confidence
,,5,My full confidence
,,98,Not in survey
,,99,Skipped/Missing
rescindfunds_antisem,"How much, if at all, do you support or oppose the federal government doing each of the following?: Rescinding federal funding from colleges and universities for not doing enough to combat anti-Semitism on campus.",1,Strongly oppose
,,2,Oppose
,,3,Neither support nor oppose
,,4,Support
,,5,Strongly support
,,98,Not in survey
,,99,Skipped/Missing
rescindfunds_propalestine,"How much, if at all, do you support or oppose the federal government doing each of the following?: Rescinding federal funding from colleges and universities that fail to arrest student protesters who express pro-Palestine views.",1,Strongly oppose
,,2,Oppose
,,3,Neither support nor oppose
,,4,Support
,,5,Strongly support
,,98,Not in survey
,,99,Skipped/Missing
rescindfunds_dei,"How much, if at all, do you support or oppose the federal government doing each of the following?: Rescinding federal funding from colleges and universities that fail to disband DEI programs.",1,Strongly oppose
,,2,Oppose
,,3,Neither support nor oppose
,,4,Support
,,5,Strongly support
,,98,Not in survey
,,99,Skipped/Missing
deportstdnt_propalestine,"How much, if at all, do you support or oppose the federal government doing each of the following?: Deporting foreigners legally in the United States on a student visa for expressing pro-Palestine views.",1,Strongly oppose
,,2,Oppose
,,3,Neither support nor oppose
,,4,Support
,,5,Strongly support
,,98,Not in survey
,,99,Skipped/Missing
deportforeign_propalestine,"How much, if at all, do you support or oppose the federal government doing each of the following?: Deporting foreigners legally in the United States with a green card for expressing pro-Palestine views.",1,Strongly oppose
,,2,Oppose
,,3,Neither support nor oppose
,,4,Support
,,5,Strongly support
,,98,Not in survey
,,99,Skipped/Missing
deportforeign_tattoo,"How much, if at all, do you support or oppose the federal government doing each of the following?: Deporting foreigners legally in the United States for having a soccer tattoo that was interpreted as a gang tattoo.",1,Strongly oppose
,,2,Oppose
,,3,Neither support nor oppose
,,4,Support
,,5,Strongly support
,,98,Not in survey
,,99,Skipped/Missing
ps_preventbook,"How much, if at all, do the following statements describe your thoughts?: Public schools should be allowed to prevent students from bringing a book to school, even if their parents would approve of them reading it.",1,Does not describe my thoughts at all
,,2,Slightly describes my thoughts
,,3,Somewhat descrbes my thoughts
,,4,Mostly describes my thoughts
,,5,Describes my thoughts completely
,,98,Not in survey
,,99,Skipped/Missing
ps_preventsexidbook,"How much, if at all, do the following statements describe your thoughts?: Public schools should be allowed to prevent students from bringing a book to school that discusses sexual identity, even if their parents would approve of them reading it.",1,Does not describe my thoughts at all
,,2,Slightly describes my thoughts
,,3,Somewhat descrbes my thoughts
,,4,Mostly describes my thoughts
,,5,Describes my thoughts completely
,,98,Not in survey
,,99,Skipped/Missing
ps_preventgenderidbook,"How much, if at all, do the following statements describe your thoughts?: Public schools should be allowed to prevent students from bringing a book to school that discusses gender identity, even if their parents would approve of them reading it.",1,Does not describe my thoughts at all
,,2,Slightly describes my thoughts
,,3,Somewhat descrbes my thoughts
,,4,Mostly describes my thoughts
,,5,Describes my thoughts completely
,,98,Not in survey
,,99,Skipped/Missing
ps_preventraceidbook,"How much, if at all, do the following statements describe your thoughts?: Public schools should be allowed to prevent students from bringing a book to school that discusses racial identity, even if their parents would approve of them reading it.",1,Does not describe my thoughts at all
,,2,Slightly describes my thoughts
,,3,Somewhat descrbes my thoughts
,,4,Mostly describes my thoughts
,,5,Describes my thoughts completely
,,98,Not in survey
,,99,Skipped/Missing
consequences,"How often, if at all, should people who express offensive opinions face consequences for their views?",1,Never
,,2,Rarely
,,3,Sometimes
,,4,Often
,,5,Always
,,98,Not in survey
,,99,Skipped/Missing
wordsviolence_matrix,"How much, if at all, do the following statements describe your thoughts?: Words can be violence.",1,Does not describe my thoughts at all
,,2,Slightly describes my thoughts
,,3,Somewhat descrbes my thoughts
,,4,Mostly describes my thoughts
,,5,Describes my thoughts completely
,,98,Not in survey
,,99,Skipped/Missing
silenceviolence,"How much, if at all, do the following statements describe your thoughts?: Silence is violence.",1,Does not describe my thoughts at all
,,2,Slightly describes my thoughts
,,3,Somewhat descrbes my thoughts
,,4,Mostly describes my thoughts
,,5,Describes my thoughts completely
,,98,Not in survey
,,99,Skipped/Missing
polviol_prog,"How much, if at all, do the following statements describe your thoughts?: Political violence is a problem among progressives.",1,Does not describe my thoughts at all
,,2,Slightly describes my thoughts
,,3,Somewhat descrbes my thoughts
,,4,Mostly describes my thoughts
,,5,Describes my thoughts completely
,,98,Not in survey
,,99,Skipped/Missing
polviol_cons,"How much, if at all, do the following statements describe your thoughts?: Political violence is a problem among conservatives.",1,Does not describe my thoughts at all
,,2,Slightly describes my thoughts
,,3,Somewhat descrbes my thoughts
,,4,Mostly describes my thoughts
,,5,Describes my thoughts completely
,,98,Not in survey
,,99,Skipped/Missing
polviol_allgrps,"How much, if at all, do the following statements describe your thoughts?: Political violence is a problem among all political groups.",1,Does not describe my thoughts at all
,,2,Slightly describes my thoughts
,,3,Somewhat descrbes my thoughts
,,4,Mostly describes my thoughts
,,5,Describes my thoughts completely
,,98,Not in survey
,,99,Skipped/Missing
punchnazi,"If a professor on a college campus said any of the following statements on social media after Charlie Kirks assassination, SHOULD THEY or SHOULD THEY NOT be fired from their job?: Its O.K. to punch a Nazi.”",1,The professor definitely should not be fired from their job
,,2,The professor probably should not be fired from their job
,,3,The professor probably should be fired from their job
,,4,The professor definitely should be fired from their job
,,98,Not in survey
,,99,Skipped/Missing
biblethumpers,"If a professor on a college campus said any of the following statements on social media after Charlie Kirks assassination, SHOULD THEY or SHOULD THEY NOT be fired from their job?: These fascist Bible-thumpers want to drag us back to the Dark Ages.”",1,The professor definitely should not be fired from their job
,,2,The professor probably should not be fired from their job
,,3,The professor probably should be fired from their job
,,4,The professor definitely should be fired from their job
,,98,Not in survey
,,99,Skipped/Missing
maga_prof,"If a professor on a college campus said any of the following statements on social media after Charlie Kirks assassination, SHOULD THEY or SHOULD THEY NOT be fired from their job?: We are going to make America great again.”",1,The professor definitely should not be fired from their job
,,2,The professor probably should not be fired from their job
,,3,The professor probably should be fired from their job
,,4,The professor definitely should be fired from their job
,,98,Not in survey
,,99,Skipped/Missing
indoctrinate,"If a professor on a college campus said any of the following statements on social media after Charlie Kirks assassination, SHOULD THEY or SHOULD THEY NOT be fired from their job?: Our colleges and universities are progressive indoctrination centers.”",1,The professor definitely should not be fired from their job
,,2,The professor probably should not be fired from their job
,,3,The professor probably should be fired from their job
,,4,The professor definitely should be fired from their job
,,98,Not in survey
,,99,Skipped/Missing
jawbone_socmedia,"How concerned, if at all, are you about the federal government pressuring social media companies to suppress the posting of certain viewpoints?",1,Not at all concerned
,,2,Slightly concerned
,,3,Somewhat concerned
,,4,Very concerned
,,5,Extremely concerned
,,98,Not in survey
,,99,Skipped/Missing
jawbone_video,"How concerned, if at all, are you about the federal government pressuring video platforms to remove content because of the viewpoints expressed?",1,Not at all concerned
,,2,Slightly concerned
,,3,Somewhat concerned
,,4,Very concerned
,,5,Extremely concerned
,,98,Not in survey
,,99,Skipped/Missing
jawbone_tech,"How concerned, if at all, are you about the federal government pressuring tech companies to remove misinformation from internet search results?",1,Not at all concerned
,,2,Slightly concerned
,,3,Somewhat concerned
,,4,Very concerned
,,5,Extremely concerned
,,98,Not in survey
,,99,Skipped/Missing
jawbone_prvtbroadcast,"How concerned, if at all, are you about the federal government pressuring private broadcast companies to remove certain viewpoints from the airwaves?",1,Not at all concerned
,,2,Slightly concerned
,,3,Somewhat concerned
,,4,Very concerned
,,5,Extremely concerned
,,98,Not in survey
,,99,Skipped/Missing
jawbone_banks,"How concerned, if at all, are you about the federal government pressuring banks to disaffiliate from groups or individuals because of their viewpoints?",1,Not at all concerned
,,2,Slightly concerned
,,3,Somewhat concerned
,,4,Very concerned
,,5,Extremely concerned
,,98,Not in survey
,,99,Skipped/Missing
govtreg_ai,"How important, if at all, is it for governments to protect free speech when regulating how people use artificial intelligence to express ideas?",1,Not important at all
,,2,Not that important
,,3,Somewhat important
,,4,Very important
,,5,Extremely important
,,98,Not in survey
